id,source_es,source_en,name,description,reviewed
back_teal,Cerceta — Equilibrio entre azul y verde.,Teal — Balance between blue and green.,Sarcelle,Équilibre entre le bleu et le vert.,no
back_wine,Vino — Elegancia clásica en color borgoña.,Wine — Classic elegance in burgundy.,Vin,Élégance classique en bordeaux.,no
back_ivory,Marfil — Noble y antiguo.,Ivory — Noble and ancient.,Ivoire,Noble et ancien.,no
back_ruby,Rubí — La gema más codiciada en la mesa.,Ruby — The most coveted gem at the table.,Rubis,Le joyau le plus convoité à table.,no
back_obsidian,Obsidiana — Piedra volcánica. Fría y amenazante.,Obsidian — Volcanic stone. Cold and menacing.,Obsidienne,Pierre volcanique. Froid et menaçant.,no
back_neon,Neón — Luces de la ciudad de noche. Brillante.,Neon — City lights at night. Bright.,Néon,Lumières de la ville la nuit. Brillant.,no
back_aurora,Aurora Boreal — Luces del norte bailando en tus cartas.,Northern Lights — Northern lights dancing on your cards.,Aurores boréales,Des aurores boréales dansant sur vos cartes.,no
back_blood,Sangre — Profundo rojo carmín. Para los valientes.,Blood — Deep crimson. For the brave.,Du sang,Pourpre profond. Pour les courageux.,no
back_void,El Vacío — Oscuridad absoluta. Nada lo puede detener.,The Void — Absolute darkness. Nothing stops it.,Le vide,L'obscurité absolue. Rien ne l'arrête.,no
back_hurricane,Huracán — Vórtice de poder azul-gris devastador.,Hurricane — Devastating blue-grey vortex.,Ouragan,Vortex bleu-gris dévastateur.,no
back_plasma,Plasma — Energía pura concentrada en tus manos.,Plasma — Pure energy concentrated in hands.,Plasma,Énergie pure concentrée dans les mains.,no
back_supernova,Supernova — Explosión estelar cegadora.,Supernova — Blinding stellar explosion.,Supernova,Explosion stellaire aveuglante.,no
back_abyss,Abismo — Lo que acecha en lo más profundo.,Abyss — What lurks in the deepest depths.,Abîme,Ce qui se cache au plus profond des profondeurs.,no
back_celestial_epic,Celestial — Inspirado en los cielos antiguos.,Celestial — Inspired by ancient skies.,Céleste,Inspiré des cieux anciens.,no
back_magma,Magma — Poder de la tierra en fusión.,Magma — Power of the earth in fusion.,Magma,Puissance de la terre en fusion.,no
back_quasar,Cuásar — La luz más brillante del universo.,Quasar — The brightest light in the universe.,Quasar,La lumière la plus brillante de l'univers.,no
back_emerald_eye,Ojo Esmeralda — Una mirada que lo ve todo.,Emerald Eye — A gaze that sees everything.,Oeil d'émeraude,Un regard qui voit tout.,no
back_phoenix_feather,Pluma de Fénix — Renacimiento en cada carta.,Phoenix Feather — Rebirth in every card.,Plume de Phénix,La renaissance dans chaque carte.,no
back_storm,Tempestad — Vientos y truenos indomables.,Storm — Untameable winds and thunder.,Tempête,Vents indomptables et tonnerre.,no
back_poison,Veneno Real — Peligroso y elegante al mismo tiempo.,Royal Poison — Dangerous and elegant at once.,Poison Royal,Dangereux et élégant à la fois.,no
back_titanium,Titanio — Indestructible y moderno.,Titanium — Indestructible and modern.,Titane,Indestructible et moderne.,no
back_spectral,Espectral — Aparición fantasmal en la mesa.,Spectral — Ghostly apparition at the table.,Spectral,Apparition fantomatique à table.,no
back_gold_leaf,Pan de Oro — Recubrimiento de lujo absoluto.,Gold Leaf — Absolute luxury coating.,Feuille d'or,Revêtement de luxe absolu.,no
back_crystal,Cristal — Holográfico. Reflejos de todos los colores.,Crystal — Holographic. All-color reflections.,Cristal,Holographique. Des reflets tout en couleurs.,no
back_galaxy,Galaxia — El universo entero en tus manos.,Galaxy — The entire universe in your hands.,Galaxie,L'univers entier entre vos mains.,no
back_inferno,Infierno — Solo para los que no le temen al fuego.,Inferno — Only for those who don't fear fire.,Enfer,Seulement pour ceux qui n'ont pas peur du feu.,no
back_prism,Prisma — Arcoíris fraccionado. Único e irrepetible.,Prism — Fractured rainbow. Unique.,Prisme,Arc-en-ciel fracturé. Unique.,no
back_shadow,Sombra — La oscuridad que consume todo a su paso.,Shadow — Darkness that consumes everything.,Ombre,Des ténèbres qui consument tout.,no
back_divine,Divino — Toca lo sagrado. Nadie más puede igualarlo.,Divine — Touches the sacred. None can match it.,Divin,Touche le sacré. Aucun ne peut l'égaler.,no
back_black_hole,Agujero Negro — Donde la suerte desaparece.,Black Hole — Where luck disappears.,Trou noir,Où la chance disparaît.,no
back_eternity,Eternidad — Más allá del tiempo y el espacio.,Eternity — Beyond time and space.,L'éternité,Au-delà du temps et de l'espace.,no
back_cosmic,Origen Cósmico — La primera luz del universo.,Cosmic Origin — The first light of the universe.,Origine cosmique,La première lumière de l'univers.,no
back_zenith,Cénit — La máxima expresión del juego.,Zenith — The ultimate expression of the game.,Zénith,L'expression ultime du jeu.,no
back_starlight,Starlight — Starlight as a card back.,Starlight — Starlight as a card back.,Lumière des étoiles,Starlight comme dos de carte.,no
back_celestial,Celestial — From another plane of existence.,Celestial — From another plane of existence.,Céleste,D'un autre plan d'existence.,no
back_nebula_back,Nebula — Primordial cosmic nebula.,Nebula — Primordial cosmic nebula.,Nébuleuse,Nébuleuse cosmique primordiale.,no
avatar_knight,Caballero — Valiente guerrero de la mesa.,Knight — Brave warrior of the table.,Chevalier,Brave guerrier de la table.,no
avatar_merchant,Mercader — Siempre con el mejor trato.,Merchant — Always the best deal.,Marchand,Toujours la meilleure offre.,no
avatar_scholar,Erudito — Conoce cada regla de memoria.,Scholar — Knows every rule by heart.,Érudit,Connaît chaque règle par cœur.,no
avatar_explorer,Explorador — Aventurero sin fronteras.,Explorer — Adventurer without borders.,Explorateur,Aventurier sans frontières.,no
avatar_chef,Chef — Mezcla los ingredientes perfectos.,Chef — Mixes the perfect ingredients.,Cuisinier,Mélange les ingrédients parfaits.,no
avatar_athlete,Atleta — Siempre en la cima de su juego.,Athlete — Always at the top of the game.,Athlète,Toujours au top du jeu.,no
avatar_pilot,Piloto — Controla el rumbo con precisión.,Pilot — Controls the course with precision.,Pilote,Contrôle le parcours avec précision.,no
avatar_farmer,Granjero — Cosecha victorias con paciencia.,Farmer — Harvests wins with patience.,Agriculteur,Les récoltes gagnent avec patience.,no
avatar_smith,Herrero — Forja su propio destino.,Blacksmith — Forges their own destiny.,Forgeron,Forge leur propre destin.,no
avatar_guard,Guardia — Firme ante cualquier ataque.,Guard — Firm against any attack.,Garde,Ferme contre toute attaque.,no
avatar_scout,Explorador — Rápido y observador.,Scout — Fast and observant.,Éclaireur,Rapide et attentif.,no
avatar_monk,Monje — Mantiene la calma en la tormenta.,Monk — Keeps calm in the storm.,Moine,Reste calme dans la tempête.,no
avatar_sailor,Marinero — Navega por las mesas con facilidad.,Sailor — Navigates tables with ease.,Marin,Navigue facilement dans les tableaux.,no
avatar_miner,Minero — Encuentra oro donde otros no ven nada.,Miner — Finds gold where others see nothing.,Mineur,Trouve de l'or là où les autres ne voient rien.,no
avatar_artist,Artista — Cada jugada es una obra maestra.,Artist — Every move is a masterpiece.,Artiste,Chaque mouvement est un chef-d'œuvre.,no
avatar_wizard,Mago — Maestro de la magia de cartas.,Wizard — Master of card magic.,Assistant,Maître de la magie des cartes.,no
avatar_samurai,Samurái — Honor y disciplina ante todo.,Samurai — Honor and discipline above all.,Samouraï,Honneur et discipline avant tout.,no
avatar_pirate,Pirata — El riesgo es su apellido.,Pirate — Risk is his last name.,Pirate,Le risque est son nom de famille.,no
avatar_detective,Detective — Siempre un paso adelante.,Detective — Always one step ahead.,Détective,Toujours une longueur d'avance.,no
avatar_bard,Bardo — Las canciones inspiran a todos.,Bard — Songs inspire everyone.,Barde,Les chansons inspirent tout le monde.,no
avatar_ranger,Guardabosques — Preciso como una flecha.,Ranger — Precise as an arrow.,Ranger,Précis comme une flèche.,no
avatar_paladin,Paladín — Fe y acero en partes iguales.,Paladin — Faith and steel in equal parts.,Paladin,Foi et acier à parts égales.,no
avatar_alchemist,Alquimista — Transforma la derrota en victoria.,Alchemist — Transforms defeat into victory.,Alchimiste,Transforme la défaite en victoire.,no
avatar_bounty,Cazarrecompensas — Siempre consigue su objetivo.,Bounty Hunter — Always gets their target.,Chasseur de primes,Obtient toujours sa cible.,no
avatar_spy,Espía — Nadie sabe quién es realmente.,Spy — Nobody knows who they really are.,Espion,Personne ne sait qui ils sont vraiment.,no
avatar_vampire,Vampiro — Inmortal y sediento de victorias.,Vampire — Immortal and thirsty for wins.,Vampire,Immortel et assoiffé de victoires.,no
avatar_werewolf,"Hombre Lobo — Luna llena o no, siempre gana.","Werewolf — Full moon or not, always wins.",Loup-garou,"Pleine lune ou pas, c'est toujours la victoire.",no
avatar_trickster,Embaucador — Sonríe aunque esté perdiendo.,Trickster — Smiles even while losing.,Filou,Sourit même en perdant.,no
avatar_shaman,Chamán — En contacto con fuerzas más allá.,Shaman — In contact with greater forces.,Chaman,En contact avec des forces plus grandes.,no
avatar_rogue,"Pícaro — Ágil, astuto e impredecible.","Rogue — Agile, cunning and unpredictable.",Voleur,"Agile, rusé et imprévisible.",no
avatar_gladiator_rare,Gladiador Retador — Lucha por la gloria eterna.,Challenger Gladiator — Fights for eternal glory.,Gladiateur challenger,Se bat pour la gloire éternelle.,no
avatar_druid,Druida — Protector del equilibrio natural.,Druid — Protector of natural balance.,Druide,Protecteur de l’équilibre naturel.,no
avatar_necromancer,Nigromante — La muerte es solo el comienzo.,Necromancer — Death is only the beginning.,Nécromancien,La mort n'est que le début.,no
avatar_valkyrie,Valquiria — Elige quién ganará en la mesa.,Valkyrie — Chooses who wins at the table.,Valkyrie,Choisit qui gagne à la table.,no
avatar_engineer,Ingeniero — Maquinando la victoria perfecta.,Engineer — Plotting the perfect victory.,Ingénieur,Tracer la victoire parfaite.,no
avatar_corsair,Corsario — Terror de los siete mares.,Corsair — Terror of the seven seas.,Corsaire,Terreur des sept mers.,no
avatar_astrologer,Astrólogo — Lee su destino en las estrellas.,Astrologer — Reads destiny in the stars.,Astrologue,Lit le destin dans les étoiles.,no
avatar_beastmaster,Domador — Controla el caos animal.,Beastmaster — Controls animal chaos.,Maître des bêtes,Contrôle le chaos animal.,no
avatar_mystic,Místico — Sus jugadas son un enigma.,Mystic — Their moves are an enigma.,Mystique,Leurs mouvements sont une énigme.,no
avatar_jester,Bufón — Se ríe del destino.,Jester — Laughs at destiny.,Bouffon,Se moque du destin.,no
avatar_ninja,Ninja — Silencioso y letal. Te sorprende.,Ninja — Silent and lethal. Surprises you.,Ninja,Silencieux et mortel. Vous surprend.,no
avatar_dragon,Dragón — Poder y fuego indomable.,Dragon — Untameable power and fire.,Dragon,Puissance et feu indomptables.,no
avatar_gladiator,Gladiador — Nació para el combate.,Gladiator — Born for combat.,Gladiateur,Né pour le combat.,no
avatar_cyber,Cyber — Inteligencia artificial al servicio del juego.,Cyber — AI in service of the game.,Cyber,L'IA au service du jeu.,no
avatar_titan,Titán — Colosal. Aplasta la competencia.,Titan — Colossal. Crushes the competition.,Titane,Colossal. Écrase la concurrence.,no
avatar_oracle,Oráculo — Ve el futuro antes de que suceda.,Oracle — Sees the future before it happens.,Oracle,Voit l’avenir avant qu’il n’arrive.,no
avatar_berserker,"Berserker — Cuando pierde el control, arrasa todo.","Berserker — When losing control, destroys all.",Berserker,"En perdant le contrôle, détruit tout.",no
avatar_sorcerer,Hechicero — Controla el tiempo y el destino.,Sorcerer — Controls time and destiny.,Sorcier,Contrôle le temps et le destin.,no
avatar_warlord,Señor de la Guerra — Comanda ejércitos de cartas.,Warlord — Commands armies of cards.,Seigneur de guerre,Commande des armées de cartes.,no
avatar_assassin,"Asesino — Una jugada, una victoria.","Assassin — One move, one victory.",Assassin,"Un geste, une victoire.",no
avatar_guardian,Guardián — Protege su mano hasta el final.,Guardian — Protects their hand to the end.,Gardien,Protège leur main jusqu'au bout.,no
avatar_sharpshooter,Francotirador — Preciso. Calculador. Letal.,Sharpshooter — Precise. Calculated. Lethal.,Tireur d'élite,Précis. Calculé. Mortel.,no
avatar_vanguard,Vanguardia — El primero en la línea de fuego.,Vanguard — First on the front line.,Avant-garde,D’abord en première ligne.,no
avatar_wraith,Espectro — Una presencia que hiela la sangre.,Wraith — A presence that chills the blood.,Spectre,Une présence qui glace le sang.,no
avatar_sentinel,Centinela — Vigilancia eterna sobre la mesa.,Sentinel — Eternal vigilance at the table.,Sentinelle,Une vigilance éternelle à table.,no
avatar_overlord_av,Soberano — Su voluntad es ley absoluta.,Sovereign — Their will is absolute law.,Souverain,Leur volonté est une loi absolue.,no
avatar_conqueror,Conquistador — No deja mesa sin dominar.,Conqueror — Leaves no table undominated.,Conquérant,Ne laisse aucune table sans domination.,no
avatar_archmage,Archimago — Poder arcano sin límites.,Archmage — Arcane power without limits.,Archimage,Pouvoir arcanique sans limites.,no
avatar_templar,Templario — Cruzado del juego limpio y duro.,Templar — Crusader of clean and hard play.,Templier,Croisé du jeu propre et dur.,no
avatar_harbinger,Heraldo — Portador de la derrota ajena.,Harbinger — Bearer of the enemy's defeat.,Présage,Porteur de la défaite de l'ennemi.,no
avatar_phoenix,Fénix — Renace más fuerte con cada derrota.,Phoenix — Reborn stronger after every defeat.,Phénix,Renaître plus fort après chaque défaite.,no
avatar_reaper,Segador — La muerte misma en la mesa.,Reaper — Death itself at the table.,Faucheuse,La mort elle-même à table.,no
avatar_king,El Rey — Por encima de todos. Sin discusión.,The King — Above everyone. No discussion.,Le roi,Au-dessus de tout le monde. Aucune discussion.,no
avatar_god_cards,Dios de las Cartas — Trasciende el juego. Es el juego.,God of Cards — Transcends the game. IS the game.,Dieu des cartes,Transcende le jeu. C'est le jeu.,no
avatar_celestial,Celestial — De otro plano de existencia.,Celestial — From another plane of existence.,Céleste,D'un autre plan d'existence.,no
avatar_chaos,El Caos — Impredecible. Imposible de parar.,Chaos — Unpredictable. Impossible to stop.,Chaos,Imprévisible. Impossible de s'arrêter.,no
avatar_emperor,Emperador — Gobernante supremo del azar.,Emperor — Supreme ruler of chance.,Empereur,Maître suprême du hasard.,no
avatar_demigod,"Semidiós — Casi un mito, totalmente letal.","Demigod — Almost a myth, totally lethal.",Demi-dieu,"Presque un mythe, totalement mortel.",no
avatar_entity,La Entidad — Nadie sabe de dónde vino.,The Entity — Nobody knows where it came from.,L'entité,Personne ne sait d'où cela vient.,no
avatar_titan_god,Titán Divino — La fuerza de un dios en la mesa.,Divine Titan — The strength of a god at the table.,Titan divin,La force d'un dieu à table.,no
frame_gold,Marco Dorado — Brilla como un campeón.,Gold Frame — Shines like a champion.,Cadre doré,Brille comme un champion.,no
frame_silver,Marco Plateado — Elegancia clásica y discreta.,Silver Frame — Classic and discreet elegance.,Cadre argenté,Élégance classique et discrète.,no
frame_copper,Marco Cobre — Cálido y brillante.,Copper Frame — Warm and bright.,Cadre en cuivre,Chaleureux et lumineux.,no
frame_bronze,Marco Bronce — Metal antiguo del coliseo.,Bronze Frame — Ancient metal of the coliseum.,Cadre en bronze,Métal ancien du Colisée.,no
frame_wood,Marco Madera — Rústico y natural.,Wood Frame — Rustic and natural.,Cadre en bois,Rustique et naturel.,no
frame_stone,Marco Piedra — Sólido como una roca.,Stone Frame — Solid as a rock.,Cadre en pierre,Solide comme un roc.,no
frame_iron,Marco Hierro — Resistente y austero.,Iron Frame — Resistant and austere.,Cadre en fer,Résistant et austère.,no
frame_clay,Marco Arcilla — Moldeado a mano.,Clay Frame — Hand-molded.,Cadre en argile,Moulé à la main.,no
frame_leaf,Marco Hojas — Fresco y orgánico.,Leaf Frame — Fresh and organic.,Cadre de feuille,Frais et biologique.,no
frame_coal,Marco Carbón — Oscuro y mate.,Coal Frame — Dark and matte.,Cadre de charbon,Sombre et mat.,no
frame_sand,Marco Arena — Suave y cálido.,Sand Frame — Soft and warm.,Cadre de sable,Doux et chaud.,no
frame_bamboo,Marco Bambú — Ligero y flexible.,Bamboo Frame — Light and flexible.,Cadre en bambou,Léger et flexible.,no
frame_rope,Marco Cuerda — Para los lobos de mar.,Rope Frame — For sea wolves.,Cadre de corde,Pour les loups de mer.,no
frame_glass,Marco Vidrio — Frágil pero cortante.,Glass Frame — Fragile but cutting.,Cadre en verre,Fragile mais coupant.,no
frame_paper,Marco Papel — Simple y efímero.,Paper Frame — Simple and ephemeral.,Cadre en papier,Simple et éphémère.,no
frame_emerald,Marco Esmeralda — Verde brillante del jugador natural.,Emerald Frame — Bright green of the natural player.,Cadre émeraude,Vert vif du joueur naturel.,no
frame_crimson,Marco Carmesí — Rojo ardiente. Señal de peligro.,Crimson Frame — Burning red. A danger sign.,Cadre cramoisi,Rouge brûlant. Un signe de danger.,no
frame_ocean,Marco Océano — Profundo y misterioso como el mar.,Ocean Frame — Deep and mysterious as the sea.,Cadre océanique,Profond et mystérieux comme la mer.,no
frame_neon,Marco Neón — Ilumina la mesa entera.,Neon Frame — Lights up the whole table.,Cadre Néon,Illumine toute la table.,no
frame_sakura,Marco Sakura — Delicado como pétalos de cerezo.,Sakura Frame — Delicate as cherry blossom petals.,Cadre Sakura,Délicat comme des pétales de fleurs de cerisier.,no
frame_thunder,Marco Trueno — Eléctrico y poderoso.,Thunder Frame — Electric and powerful.,Cadre de tonnerre,Électrique et puissant.,no
frame_toxic,Marco Tóxico — Verde veneno. Aviso de peligro.,Toxic Frame — Poison green. Danger warning.,Cadre toxique,Vert poison. Avertissement de danger.,no
frame_marble,Marco Mármol — Piedra blanca pulida. Sofisticado.,Marble Frame — Polished white stone. Sophisticated.,Cadre en marbre,Pierre blanche polie. Sophistiqué.,no
frame_obsidian_r,Marco Obsidiana — Elegancia volcánica oscura.,Obsidian Frame — Dark volcanic elegance.,Cadre en obsidienne,Élégance volcanique sombre.,no
frame_ruby_r,Marco Rubí — Pasión y lujo metálico.,Ruby Frame — Passion and metallic luxury.,Cadre Rubis,Passion et luxe métallique.,no
frame_sapphire_r,Marco Zafiro — Sabiduría azul cristalina.,Sapphire Frame — Crystalline blue wisdom.,Monture Saphir,Sagesse bleue cristalline.,no
frame_topaz_r,Marco Topacio — Claridad dorada y brillante.,Topaz Frame — Golden clarity and brightness.,Cadre Topaze,Clarté et luminosité dorées.,no
frame_amethyst_r,Marco Amatista — Místico y regio.,Amethyst Frame — Mystical and regal.,Cadre Améthyste,Mystique et royal.,no
frame_onyx_r,Marco Ónice — Piedra preciosa negra pulida.,Onyx Frame — Polished precious black stone.,Cadre en onyx,Pierre noire précieuse polie.,no
frame_pearl_r,Marco Perla — Brillo oceánico refinado.,Pearl Frame — Refined ocean glow.,Cadre Perle,Lueur océanique raffinée.,no
frame_quartz_r,Marco Cuarzo — Claridad y energía pura.,Quartz Frame — Clarity and pure energy.,Cadre à Quartz,Clarté et énergie pure.,no
frame_coral_r,Marco Coral — Vibrante y lleno de vida.,Coral Frame — Vibrant and full of life.,Cadre Corail,Vibrant et plein de vie.,no
frame_amber_r,Marco Ámbar — Resina antigua atrapada en el tiempo.,Amber Frame — Ancient resin trapped in time.,Cadre Ambre,Résine ancienne emprisonnée dans le temps.,no
frame_jade_r,Marco Jade — Suerte y armonía oriental.,Jade Frame — Eastern luck and harmony.,Cadre Jade,Chance et harmonie orientales.,no
frame_citrine_r,Marco Citrino — Calidez solar en tu perfil.,Citrine Frame — Solar warmth in your profile.,Cadre citrine,Chaleur solaire dans votre profil.,no
frame_granite_r,Marco Granito — Resistencia inquebrantable.,Granite Frame — Unbreakable resistance.,Cadre en granit,Résistance incassable.,no
frame_bone_r,Marco Hueso — Reliquia de batallas pasadas.,Bone Frame — Relic of past battles.,Cadre en os,Relique des batailles passées.,no
frame_steel_r,"Marco Acero — Moderno, pulido e industrial.","Steel Frame — Modern, polished and industrial.",Cadre en acier,"Moderne, raffiné et industriel.",no
frame_brass_r,Marco Latón — Estilo steampunk clásico.,Brass Frame — Classic steampunk style.,Cadre en laiton,Style steampunk classique.,no
frame_velvet_r,Marco Terciopelo — Suavidad y elegancia pura.,Velvet Frame — Softness and pure elegance.,Cadre en velours,Douceur et élégance pure.,no
frame_fire,Marco Fuego — Ardiente y dominante.,Fire Frame — Burning and dominant.,Cadre de feu,Brûlant et dominant.,no
frame_galaxy,Marco Galaxia — El cosmos en tu avatar.,Galaxy Frame — The cosmos in your avatar.,Cadre Galaxie,Le cosmos dans votre avatar.,no
frame_void,Marco Vacío — Oscuridad que lo rodea todo.,Void Frame — Darkness surrounds everything.,Cadre vide,L'obscurité entoure tout.,no
frame_aurora,Marco Aurora — Luces boreales eternamente bailando.,Aurora Frame — Northern lights eternally dancing.,Cadre Aurore,Les aurores boréales dansent éternellement.,no
frame_crystal2,Marco Cristal — Transparente y brillante como diamante.,Crystal Frame — Transparent and bright as diamond.,Cadre en cristal,Transparent et brillant comme un diamant.,no
frame_magma_e,Marco Magma — Poder volcánico fluyendo.,Magma Frame — Volcanic power flowing.,Cadre magmatique,La puissance volcanique circule.,no
frame_plasma_e,Marco Plasma — Energía pura concentrada.,Plasma Frame — Pure concentrated energy.,Cadre plasma,Énergie pure concentrée.,no
frame_neutron_e,Marco Neutrón — Densidad estelar extrema.,Neutron Frame — Extreme stellar density.,Cadre Neutron,Densité stellaire extrême.,no
frame_spectrum_e,Marco Espectro — Todos los colores en armonía.,Spectrum Frame — All colors in harmony.,Cadre de spectre,Toutes les couleurs en harmonie.,no
frame_nebula_e,Marco Nebulosa — Nube de gas estelar.,Nebula Frame — Stellar gas cloud.,Cadre nébuleuse,Nuage de gaz stellaire.,no
frame_solar_e,Marco Solar — Brillo de una estrella joven.,Solar Frame — Brightness of a young star.,Cadre solaire,Luminosité d'une jeune étoile.,no
frame_frozen_e,Marco Escarcha — Hielo eterno que nunca se derrite.,Frost Frame — Eternal ice that never melts.,Cadre de givre,Glace éternelle qui ne fond jamais.,no
frame_shadow_e,Marco Sombra — Acechando desde la oscuridad.,Shadow Frame — Lurking from the darkness.,Cadre d'ombre,Caché dans les ténèbres.,no
frame_divine_e,Marco Sagrado — Luz celestial purificadora.,Holy Frame — Purifying celestial light.,Cadre sacré,Lumière céleste purificatrice.,no
frame_ancient_e,Marco Antiguo — Reliquia de una civilización perdida.,Ancient Frame — Relic of a lost civilization.,Cadre ancien,Relique d'une civilisation perdue.,no
frame_modern_e,Marco Moderno — Diseño minimalista y futurista.,Modern Frame — Minimalist and futuristic design.,Cadre moderne,Design minimaliste et futuriste.,no
frame_glitch_e,Marco Glitch — Error en la realidad.,Glitch Frame — Error in reality.,Cadre de pépin,Erreur en réalité.,no
frame_pulse_e,Marco Pulso — Latido constante de energía.,Pulse Frame — Constant energy heartbeat.,Cadre d'impulsion,Battement de coeur à énergie constante.,no
frame_radiant_e,Marco Radiante — Brillo insoportable para los débiles.,Radiant Frame — Unbearable glow for the weak.,Cadre Radiant,Lueur insupportable pour les faibles.,no
frame_phantom_e,Marco Fantasma — Apenas presente en este plano.,Phantom Frame — Barely present in this plane.,Cadre fantôme,A peine présent dans cet avion.,no
frame_diamond,Marco Diamante — El más raro y brillante de todos.,Diamond Frame — The rarest and brightest of all.,Cadre Diamant,Le plus rare et le plus brillant de tous.,no
